"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","444","Авторизация без значения у обязательного поля","tests","Sun Aug 11 16:21:32 MSK 2024","passed","Sun Aug 11 16:21:33 MSK 2024","TestLoginCourier","test_courier","",""
"","1316","Создание учетной записи курьера со всеми полями или без поля firstName","tests","Sun Aug 11 16:21:21 MSK 2024","passed","Sun Aug 11 16:21:23 MSK 2024","TestCreateCourier","test_courier","",""
"","398","Создание учетной записи курьера без обязательного поля","tests","Sun Aug 11 16:21:24 MSK 2024","passed","Sun Aug 11 16:21:25 MSK 2024","TestCreateCourier","test_courier","",""
"","386","Авторизация без обязательного поля","tests","Sun Aug 11 16:21:29 MSK 2024","passed","Sun Aug 11 16:21:29 MSK 2024","TestLoginCourier","test_courier","",""
"","434","Создание заказа при указании одного из цветов, оба цвета, ни одного цвета. Тело ответа содержит track ","tests","Sun Aug 11 16:21:39 MSK 2024","passed","Sun Aug 11 16:21:40 MSK 2024","TestOrder","test_order","",""
"","395","Авторизация с заменой значения у обязательного поля","tests","Sun Aug 11 16:21:37 MSK 2024","passed","Sun Aug 11 16:21:38 MSK 2024","TestLoginCourier","test_courier","",""
"","396","Авторизация с заменой значения у обязательного поля","tests","Sun Aug 11 16:21:36 MSK 2024","passed","Sun Aug 11 16:21:36 MSK 2024","TestLoginCourier","test_courier","",""
"","407","Создание заказа при указании одного из цветов, оба цвета, ни одного цвета. Тело ответа содержит track ","tests","Sun Aug 11 16:21:39 MSK 2024","passed","Sun Aug 11 16:21:39 MSK 2024","TestOrder","test_order","",""
"","414","Создание учетной записи курьера без обязательного поля","tests","Sun Aug 11 16:21:24 MSK 2024","passed","Sun Aug 11 16:21:24 MSK 2024","TestCreateCourier","test_courier","",""
"","25879","Проверка, что API возвращает список заказов. Список не пустой. В списке есть id","tests","Sun Aug 11 16:21:40 MSK 2024","passed","Sun Aug 11 16:22:06 MSK 2024","TestOrder","test_order","",""
"","412","Авторизация без обязательного поля","tests","Sun Aug 11 16:21:31 MSK 2024","passed","Sun Aug 11 16:21:31 MSK 2024","TestLoginCourier","test_courier","",""
"","434","Создание заказа при указании одного из цветов, оба цвета, ни одного цвета. Тело ответа содержит track ","tests","Sun Aug 11 16:21:38 MSK 2024","passed","Sun Aug 11 16:21:38 MSK 2024","TestOrder","test_order","",""
"","1252","Создание учетной записи курьера со всеми полями или без поля firstName","tests","Sun Aug 11 16:21:23 MSK 2024","passed","Sun Aug 11 16:21:24 MSK 2024","TestCreateCourier","test_courier","",""
"","416","Создание заказа при указании одного из цветов, оба цвета, ни одного цвета. Тело ответа содержит track ","tests","Sun Aug 11 16:21:39 MSK 2024","passed","Sun Aug 11 16:21:39 MSK 2024","TestOrder","test_order","",""
"","394","Авторизация курьера при передаче всех обязательных полей. Успешный запрос возвращает id","tests","Sun Aug 11 16:21:27 MSK 2024","passed","Sun Aug 11 16:21:28 MSK 2024","TestLoginCourier","test_courier","",""
"","419","Авторизация без значения у обязательного поля","tests","Sun Aug 11 16:21:34 MSK 2024","passed","Sun Aug 11 16:21:34 MSK 2024","TestLoginCourier","test_courier","",""
"","410","Попытка создания учетной записи курьера с уже существующим логином","tests","Sun Aug 11 16:21:26 MSK 2024","passed","Sun Aug 11 16:21:26 MSK 2024","TestCreateCourier","test_courier","",""
